Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
MSFT,53,53.0,market,sell,,329.540377,filled,2023-08-07 13:33:03.591930+00:00,2023-08-07 13:33:06.687548+00:00
HUM,35,35.0,market,sell,,487.854857,filled,2023-08-07 13:32:59.695853+00:00,2023-08-07 13:33:02.192890+00:00
PG,112,112.0,market,sell,,156.38,filled,2023-08-07 13:32:57.745157+00:00,2023-08-07 13:32:58.769040+00:00
JPM,111,111.0,market,sell,,157.33,filled,2023-08-07 13:32:54.484832+00:00,2023-08-07 13:32:56.469419+00:00
QCOM,143,143.0,market,sell,,121.621888,filled,2023-08-07 13:32:49.965616+00:00,2023-08-07 13:32:52.886282+00:00
TSLA,68,68.0,market,sell,,250.78,filled,2023-08-07 13:32:47.912979+00:00,2023-08-07 13:32:48.658656+00:00
CME,84,84.0,market,sell,,206.07,filled,2023-08-07 13:32:47.081123+00:00,2023-08-07 13:32:47.266797+00:00
MC,362,362.0,market,sell,,48.03,filled,2023-08-07 13:32:45.163078+00:00,2023-08-07 13:32:46.209852+00:00
WM,108,108.0,market,sell,,160.56,filled,2023-08-07 13:32:43.120385+00:00,2023-08-07 13:32:44.509456+00:00
CSCO,330,330.0,market,sell,,52.99,filled,2023-08-07 13:32:39.827420+00:00,2023-08-07 13:32:42.234491+00:00
ACN,55,55.0,market,sell,,314.38,filled,2023-08-07 13:32:37.791800+00:00,2023-08-07 13:32:38.991893+00:00
COST,31,31.0,market,sell,,554.9,filled,2023-08-07 13:32:35.756529+00:00,2023-08-07 13:32:37.093395+00:00
TMO,31,31.0,market,sell,,550.89,filled,2023-08-07 13:32:32.460301+00:00,2023-08-07 13:32:34.125628+00:00
ORLY,18,18.0,market,sell,,927.36,filled,2023-08-07 13:32:30.634655+00:00,2023-08-07 13:32:32.004143+00:00
AAPL,95,95.0,market,sell,,180.73,filled,2023-08-07 13:32:28.568408+00:00,2023-08-07 13:32:29.403169+00:00
CRM,81,81.0,market,sell,,215.11,filled,2023-08-07 13:32:26.722933+00:00,2023-08-07 13:32:27.844053+00:00
META,56,56.0,market,sell,,313.38,filled,2023-08-07 13:32:24.743780+00:00,2023-08-07 13:32:25.975247+00:00
BMY,287,287.0,market,sell,,60.64,filled,2023-08-07 13:32:22.657510+00:00,2023-08-07 13:32:23.612068+00:00
H,155,155.0,market,sell,,112.25,filled,2023-08-07 13:32:19.343218+00:00,2023-08-07 13:32:21.087903+00:00
HON,92,92.0,market,sell,,190.382283,filled,2023-08-07 13:32:17.315352+00:00,2023-08-07 13:32:18.640128+00:00
